-44,-44,-44,-6,-44,-67,-236,-268,-176,130,-277,-258,-44,-44,-44,13,-44,-67,-44,-44,-44,21,-44,-67,-44,-44,-44,-25,-44,-67,-44,-44,-44,-25,-44,-28
-44,-44,52,-44,-44,-67,-252,-268,270,-259,-277,-258,-44,-44,116,-44,-44,-67,-44,-44,155,-44,-44,-67,-44,-44,0,-44,-44,-67,-44,-44,0,-44,-44,-28
-44,38,-44,-44,-44,-67,-152,290,-112,-156,-277,-258,-44,66,-44,-44,-44,-67,-44,122,-44,-44,-44,-67,-44,0,-44,-44,-44,-67,-44,0,-44,-44,-44,-28
8,-44,-44,-44,-44,-67,110,-277,-73,-216,-277,-258,41,-44,-44,-44,-44,-67,39,-44,-44,-44,-44,-67,-25,-44,-44,-44,-44,-67,-25,-44,-44,-44,-44,-28
-44,-44,-44,-44,-44,-67,-277,-277,-277,-277,-277,-258,-44,-44,-44,-44,-44,-67,-44,-44,-44,-44,-44,-67,-44,-44,-44,-44,-44,-67,-44,-44,-44,-44,-44,-28
-67,-67,-67,-67,-67,-2000,-258,-258,-258,-258,-258,0,-67,-67,-67,-67,-67,-2000,-67,-67,-67,-67,-67,-2000,-67,-67,-67,-67,-67,-2000,-123,-123,-123,-123,-123,-28
-289,-299,-234,60,-319,-283,-44,-44,-44,-73,-44,-67,-44,-44,-44,3,-44,-67,-44,-44,-44,-24,-44,-67,-44,-44,-44,-25,-44,-67,-44,-44,-44,-25,-44,-28
-319,-305,150,-301,-319,-283,-44,-44,-31,-44,-44,-67,-44,-44,72,-44,-44,-67,-44,-44,12,-44,-44,-67,-44,-44,0,-44,-44,-67,-44,-44,0,-44,-44,-28
-240,160,-215,-225,-319,-283,-44,-31,-44,-44,-44,-67,-44,94,-44,-44,-44,-67,-44,41,-44,-44,-44,-67,-44,0,-44,-44,-44,-67,-44,0,-44,-44,-44,-28
20,-291,-207,-252,-319,-283,-57,-44,-44,-44,-44,-67,-33,-44,-44,-44,-44,-67,-25,-44,-44,-44,-44,-67,-25,-44,-44,-44,-44,-67,-25,-44,-44,-44,-44,-28
-319,-319,-319,-319,-319,-283,-44,-44,-44,-44,-44,-67,-44,-44,-44,-44,-44,-67,-44,-44,-44,-44,-44,-67,-44,-44,-44,-44,-44,-67,-44,-44,-44,-44,-44,-28
-283,-283,-283,-283,-283,-25,-67,-67,-67,-67,-67,-2000,-67,-67,-67,-67,-67,-2000,-67,-67,-67,-67,-67,-2000,-67,-67,-67,-67,-67,-2000,-123,-123,-123,-123,-123,-28
-44,-44,-44,-25,-44,-67,-44,-44,-44,-25,-44,-67,-44,-44,-44,-25,-44,-67,-44,-44,-44,-25,-44,-67,-44,-44,-44,-25,-44,-67,-44,-44,-44,-25,-44,-28
-44,-44,0,-44,-44,-67,-44,-44,0,-44,-44,-67,-44,-44,0,-44,-44,-67,-44,-44,0,-44,-44,-67,-44,-44,0,-44,-44,-67,-44,-44,0,-44,-44,-28
-44,0,-44,-44,-44,-67,-44,0,-44,-44,-44,-67,-44,0,-44,-44,-44,-67,-44,0,-44,-44,-44,-67,-44,0,-44,-44,-44,-67,-44,0,-44,-44,-44,-28
-25,-44,-44,-44,-44,-67,-25,-44,-44,-44,-44,-67,-25,-44,-44,-44,-44,-67,-25,-44,-44,-44,-44,-67,-25,-44,-44,-44,-44,-67,-25,-44,-44,-44,-44,-28
-44,-44,-44,-44,-44,-67,-44,-44,-44,-44,-44,-67,-44,-44,-44,-44,-44,-67,-44,-44,-44,-44,-44,-67,-44,-44,-44,-44,-44,-67,-44,-44,-44,-44,-44,-28
-67,-67,-67,-67,-67,-2000,-67,-67,-67,-67,-67,-2000,-67,-67,-67,-67,-67,-2000,-67,-67,-67,-67,-67,-2000,-67,-67,-67,-67,-67,-2000,-123,-123,-123,-123,-123,-28
-44,-44,-44,-25,-44,-123,-44,-44,-44,-25,-44,-123,-44,-44,-44,-25,-44,-123,-44,-44,-44,-25,-44,-123,-44,-44,-44,-25,-44,-123,0,0,0,224,0,-123
-44,-44,0,-44,-44,-123,-44,-44,0,-44,-44,-123,-44,-44,0,-44,-44,-123,-44,-44,0,-44,-44,-123,-44,-44,0,-44,-44,-123,0,0,249,0,0,-123
-44,0,-44,-44,-44,-123,-44,0,-44,-44,-44,-123,-44,0,-44,-44,-44,-123,-44,0,-44,-44,-44,-123,-44,0,-44,-44,-44,-123,0,249,0,0,0,-123
-25,-44,-44,-44,-44,-123,-25,-44,-44,-44,-44,-123,-25,-44,-44,-44,-44,-123,-25,-44,-44,-44,-44,-123,-25,-44,-44,-44,-44,-123,224,0,0,0,0,-123
-44,-44,-44,-44,-44,-123,-44,-44,-44,-44,-44,-123,-44,-44,-44,-44,-44,-123,-44,-44,-44,-44,-44,-123,-44,-44,-44,-44,-44,-123,0,0,0,0,0,-123
-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-123,-123,-123,-123,-123,-2000
